,edit_history_tweet_ids,id,text
0,['1601231186218848256'],1601231186218848256,"@GiorgiaMeloni Non ci si aspettare di meglio da Lei Presidente,una iniziativa che unisce sempre di più istituzioni e cittadini .La stimo sempre di più l'ho votata sin dal 2012,spero di poterlo fare ancora per molto tempo.LeSono sempre vicino nel bene pronta a difenderla dal male"
1,['1601199089265569794'],1601199089265569794,"@GiorgiaMeloni Progetto legge ""Salva casa"" Se facciamo una legge che porta lo spread delle banche al tetto massimo di 1% si salvano tante famiglie che hanno aperto un mutuo casa"
2,['1601180296275451904'],1601180296275451904,@GiorgiaMeloni Efficace.
3,['1601171241053716488'],1601171241053716488,@francescotirit1 @GiorgiaMeloni Ebetino per importanza è la seconda carica dello stato. Il presidente della Camera e del senato contano come il due di coppe quando regna denari. Ora si eclissi beota
4,['1600983783897169924'],1600983783897169924,@GiorgiaMeloni https://t.co/bG3DVkLGez
5,['1600981741438926848'],1600981741438926848,@GiorgiaMeloni Giorgia...lasciate opzione donna come prima!
6,['1600943802574725120'],1600943802574725120,@GiorgiaMeloni 🟢🟢APPROVATE L'EMENDAMENTO 13.0.22🟢🟢ESTENSIONE DELLE GM DEL CONCORSO STRAORDINARIO BIS A TUTTI I PARTECIPANTI E UTILIZZO DELLE GM AD ESAURIMENTO🟢🟢.
7,['1600923461810982913'],1600923461810982913,@GiorgiaMeloni Opzione donna non si tocca
8,['1600890382719406085'],1600890382719406085,@LucRi59 @BenniFranca @barzon_maria @GiorgiaMeloni @Matidona23 @GermanaGiani @Paolaviscovich @OArmiliato Infatti i requisiti li abbiamo già’ #opzionedonna è un nostro diritto
9,['1600867766181171201'],1600867766181171201,"@GiorgiaMeloni Buongiorno,  si preda questo appunto per Natale Rinnovare Opzione Donna con i requisiti dell'anno precedente. Importante"
10,['1600849528709877760'],1600849528709877760,@GiorgiaMeloni Via il RDC e aumento alle pensioni da fame
11,['1600776764833554432'],1600776764833554432,@GiorgiaMeloni Buon lavoro Presidente
12,['1600751994234605569'],1600751994234605569,@GiorgiaMeloni Bellissima iniziativa! Così smetteranno di stravolgere la verità! Brava👏👏👏👏
13,['1600717964184981504'],1600717964184981504,@Selfini2 @laura_maffi @GiorgiaMeloni È ben addestrata
14,['1600643342353797125'],1600643342353797125,@maya_sakurambo @GiorgiaMeloni Con una ventiquattr'ore così mi sento Dio... 😁 https://t.co/bbIcDnsHIH
15,['1600609514780237824'],1600609514780237824,"@Danireport @laura_maffi @GiorgiaMeloni questa annuisce a tutti coloro che hanno o potrebbbero avere un peso importante...""nun se pò mai sapè..."""
16,['1600608675282178049'],1600608675282178049,"@GiorgiaMeloni Ma ce stanno le ricette scritte, dentro?"
17,['1600590825255231493'],1600590825255231493,@GiorgiaMeloni 😂😂😂😂😂😂😂😂😂😂 https://t.co/XvOIscj4aA
18,['1600558992383946752'],1600558992383946752,@GiorgiaMeloni Quaderni di lavoro? Quale lavoro?
19,['1600557652572262402'],1600557652572262402,@GiorgiaMeloni 😂😂😂😂😂😂😂😂 https://t.co/fq9eBo5ugp
20,['1600554553942102016'],1600554553942102016,@Pietro74675582 @laura_maffi @GiorgiaMeloni Hai ragione
21,['1600554336282722316'],1600554336282722316,"@GiorgiaMeloni Grande Giorgia, avanti così 👍"
22,['1600554004777676800'],1600554004777676800,"@GiorgiaMeloni Ma poi è meglio avere in mano i propri soldi, si dovrebbe dare libertà a chi li vuole cartacei, se no andiamo verso il terribile modello cinese di controllo sociale inaccettabile..."
23,['1600531504773332993'],1600531504773332993,"@LoryLo1805 @dq82elo @NicolaIndelica6 @GiorgiaMeloni Basterebbero gli esami del primo anno per capire come la flat tax sia palesemente contraria alla crescita. Nessuno sarà invogliato a superare gli 85000€ se dovrà pagare 3 volte tanto di tasse, e sicuramente chi già li supera troverà il modo, nero, per non dichiararli. Geniale"
24,['1600530340275453952'],1600530340275453952,@TheMissRossi @giacomoclarkson @GiorgiaMeloni Ah perché lei lo stipendio lo riceve in contanti e i soldi li tiene sotto il materasso? Ma perché dovete sparare minchiate in continuazione confondendo il metodo di pagamento con la disponibilità del proprio denaro?
25,['1600521230485946370'],1600521230485946370,"@MariaRosaSeraf2 @Daniela63097218 @GiorgiaMeloni @ElenaBalestri64 Ho quasi 40anni di contributi e ho 58anni nata in settembre e non so dopo tanti anni di lavoro quando e come andrò in pensione e la mia vita è in bilico, non mi merito almeno di sapere quando finirò di lavorare e potrò finalmente vivere dopo 40anni di turni anche notturni? 😭😭"
26,['1600515282564423681'],1600515282564423681,"@GiorgiaMeloni TOGLI LE MULTE AI #OVER50...sennò sei solo una #BlàBlàBlà

#NoGreenPass #NoDittaturaSanitaria #libertà #iononmivaccino #1984IsHere #ioDisubbidisco #NoApartheid #vaxkiller"
27,['1600508120454897665'],1600508120454897665,"@GiorgiaMeloni Direi a @GiorgiaMeloni che, circa #POS e #contante che, per gli esercenti di qualsiasi cosa, dovrebbe essere obbligatorio esporre, ben visibili, i sistemi di pagamento accettati."
28,['1600507784667316225'],1600507784667316225,"@FEDERICOCARLON6 @GiorgiaMeloni Se lei sa fare meglio si candidi ,ma mi raccomando non si porti la 💩visto che è il l suo portafortuna  😂😂😂😂"
29,['1600507420505145348'],1600507420505145348,"@FEDERICOCARLON6 @GiorgiaMeloni Lei deve vivere nella merda veramente, se in tutti suoi commenti c'è sempre questa parola 😂😂😂😂che vita di merda che deve fare"
30,['1600501924679356417'],1600501924679356417,"@Danireport @laura_maffi @GiorgiaMeloni Io no, non merita il mio tempo la TV spazzatura"
31,['1600475625118056448'],1600475625118056448,@LucRi59 @barzon_maria @GiorgiaMeloni @Matidona23 @GermanaGiani @Paolaviscovich @OArmiliato No ai 60 ANNI ne altre restrizioni #opzionedonnavogliamolaproroga
32,['1600463850674888704'],1600463850674888704,"@GiorgiaMeloni Giorgia, fra gli appunti ti ritrovi la ricetta per la coda alla vaccinara?"
33,['1600459301755109376'],1600459301755109376,@GiorgiaMeloni Io sottoscritta Stefania pellutri sono in povertà indotta dai PALAZZINARI ANGELLA mi costringono a cause infinite x non pagarmi i danni.e mi mandano pure i https://t.co/qAIGg9EaAm fede Stefania pellutri
34,['1600455798705909760'],1600455798705909760,@GiorgiaMeloni Giorgina sei esilarante…. Se vuoi vado in cartolibreria e ti mando un pacco con i quaderni a righe (larghe) e a quadrucci (larghi) con scritto GIORGIA…
35,['1600453848081891328'],1600453848081891328,"@GiorgiaMeloni Poi scoprirà che esistono i conti bancari, che nessuno tiene 5.000 € dentro casa e che chi presta i soldi si chiama ""strozzino"". Con calma eh!"
36,['1600451443181223936'],1600451443181223936,"@GiorgiaMeloni Sei molto cambiata ,alcuni atteggiamenti sono https://t.co/zz7M4YZIqS non ti lasci andare,durerai https://t.co/1PQCKlnSve a sinistra ho solo ,che dire"
37,['1600448291220881408'],1600448291220881408,@GiorgiaMeloni 🤢🤮
38,['1600424511542681600'],1600424511542681600,"@GiorgiaMeloni Il Governo inizia lo smantellamento della tutela del lavoro  negando l'adeguamento stipendiale al solo personale dell'Ispettorato del Lavoro 

#tutelachititutela
#ispettoratodellavoro
#sciopero12dicembre"
39,['1600418982330343426'],1600418982330343426,@GiorgiaMeloni https://t.co/6jMmOr7bgB
40,['1600416089803919360'],1600416089803919360,@barzon_maria @GiorgiaMeloni @Matidona23 @GermanaGiani @Paolaviscovich @OArmiliato @barzon_maria la proroga di Opzione Donna è al 31.22.2022 non per l'anno 2023. Il diritto è per tutte le donne che maturano i requisiti al 31.12.2022 affinché anche dopo il 2023 le beneficiarie possano richiederla.
41,['1600412281447190530'],1600412281447190530,@GiorgiaMeloni Ma non eravate pronti?non ho capito a cosa forse a distruggere l'italia
42,['1600410139403558912'],1600410139403558912,@GiorgiaMeloni Giorgia Meloni sta distruggendo un paese ancora fai in tempo a ritirarti perché il giorno che non sarai più premiar non ti potrà vedere più nessuno ti  odieranno tutti
43,['1600409897107329024'],1600409897107329024,@GiorgiaMeloni @robertu74 Fin qui tutto bene! Questa novità del diario non la trovo buona cosa 👎👎👎
44,['1600407351034462208'],1600407351034462208,"@Lorettamassere1 @lore944 @GiorgiaMeloni Dare tempo dovrebbe essere la cosa più logica, purtroppo la Meloni all'opposizione non l'ha mai dato, anzi...io da una vita votato centro destra questa volta no perché era nei fatti che non sarebbe riuscita a fare quello che diceva e essere presa in giro anche no!"
45,['1600397639648006144'],1600397639648006144,@Mattialei @GiorgiaMeloni Rosicate ma questa è  un'ottima iniziativa.  Spero continui e non si perda per strada.
46,['1600386788777816064'],1600386788777816064,@GiorgiaMeloni Ricordati delle mamme lavoratrici. Fai in modo che non siano costrette a rinunciare al posto di lavoro per la famiglia. Dai loro la possibilità di scegliere la sede più vicina. Grazie.
47,['1600384424939356160'],1600384424939356160,@alessandro7imo @Ttina_r @GiorgiaMeloni Guarda il tuo sguardo dimostra tutta la tua intelligenza......ti auguro di cuore di andare sotto il minimo
48,['1600378199308787714'],1600378199308787714,"@OrNella645587 @CarloCapone13 @GiorgiaMeloni È la PDC degna del PDR attuale
NIENT'ALTRO"
49,['1600364964157747200'],1600364964157747200,"@GiorgiaMeloni Avrei da segnalare una importante incongruenza che riguarda i Bonus e che sarebbe utile,necessario ed indispensabile correggere.
Come posso fare?"
50,['1600364114768932865'],1600364114768932865,@ciccio194717 @Ttina_r @GiorgiaMeloni La soddisfazione è che nemmeno due mesi dopo ti hanno aumentato la benzina. Prossimo step la sanità pubblica.
51,['1600363660366340096'],1600363660366340096,@leleilenia @Ttina_r @GiorgiaMeloni Soumahoro non è indagato. Capra.
52,['1600363480879857665'],1600363480879857665,@GiorgiaMeloni Ridicola
53,['1600363372809424897'],1600363372809424897,@Ttina_r @GiorgiaMeloni Te sta bene. Rivotali.
54,['1600316619594481664'],1600316619594481664,"@GiorgiaMeloni Fiuuuuuu, pensavo uscisse la pagina degli arrestati di Fratelli D'Italia, che sollievoh ❤ https://t.co/naMIsP6X7m"
55,['1600285666838913024'],1600285666838913024,@GiorgiaMeloni La spiegazione per cui il tetto al contante favorirebbe l'evasione e i pagamenti illegali è veramente folkloristica. Non so se ci crede veramente o ci piglia tutti per deficienti. Se voglio evadere certamente o bisogno di contante NON TRACCIBILE lo capiscono tutti salvo lei🤦‍♂️🤦‍♂️
56,['1600264145735012352'],1600264145735012352,"@Sashamanexi1 @GiorgiaMeloni un comune grillino. Saluti alla polizia postale. Buona galera, non c'è bisogno che sventri nessuno, te la sei già guadagnata. A meno che anche questo non sia diritto d'opinione come saviano"
57,['1600252372000772096'],1600252372000772096,@Sashamanexi1 @GiorgiaMeloni Trovati una via anziché perdere tempo sui social.
58,['1600250985246789633'],1600250985246789633,@Sashamanexi1 @GiorgiaMeloni Vai a lavorare
59,['1600249843762401281'],1600249843762401281,@GiorgiaMeloni Io penso che usare la carta per i pagamenti non permetta a molte famiglie di controllare efficacemente le spese mensili.
60,['1600242595094929408'],1600242595094929408,"@GiorgiaMeloni @ElenaBalestri64 PROROGA OPZIONE DONNA COME PROMESSO A TUTTE LE DONNE CHE HO PRESO PER I FONDELLI X AVERE IL LORO VOTO,QUESTO DEVE SCRIVERE NEI SUOI APPUNTI"
61,['1600237919465111552'],1600237919465111552,"@GiorgiaMeloni Nella rubrica speriamo sarà più coerente con ciò che diceva quando non era Presidente e gridava vergogna nei confronti degli altri governi.
Che pensa oggi delle accise sulla benzina che avete aumentato mentre nel 2019 gridava VERGOGNA?
Vergogna davvero lo dico io oggi! https://t.co/m58ZrEitwo https://t.co/yTcGpWSbDF"
62,['1600226311183962112'],1600226311183962112,@GiorgiaMeloni https://t.co/G1Dp24lUEB
63,['1600226089124605952'],1600226089124605952,@GiorgiaMeloni L’energia sporca che inquina e uccide il pianeta è  nelle mani delle MafieMultinazionali questo lo sanno anche i bambini delle elementari. Il pianeta terra 🌍 ha un’immensa risorsa energetica la più grande e pulita è L’idrogeno che i criminali delle multinazionali non vogliono! https://t.co/lOzhv3yIQP
64,['1600201738975293440'],1600201738975293440,"@GiorgiaMeloni Le ricette Giorgina, non ci sono????"
65,['1600197363024334848'],1600197363024334848,"@GiorgiaMeloni Esistono gli Orban che decidono, poi ci sono le Meloni che subiscono. Superfluo"
66,['1600183415810060288'],1600183415810060288,@LoryLo1805 @NicolaIndelica6 @GiorgiaMeloni https://t.co/xTvSbLTK6I
67,['1600162857055752192'],1600162857055752192,@FEDERICOCARLON6 @GiorgiaMeloni Ascolta pagliaccio non ho tempo di farti niente niente a te informati su conte e letta
68,['1600162000658583558'],1600162000658583558,@GiorgiaMeloni Bella iniziativa 👍👍👍
69,['1600156635493634048'],1600156635493634048,@GiorgiaMeloni Siete solo dei cialtroni incompetenti. 🤡😘 https://t.co/DBs6uGPevA
70,['1600156501749821440'],1600156501749821440,"@abralacabria @demelza72 @GiorgiaMeloni Mentre adesso (anno 2022) siamo a picco per incapacità di chi ci ha governato negli ultimi anni, vedi tu chi ci ha governato."
71,['1600156201613934594'],1600156201613934594,@abralacabria @demelza72 @GiorgiaMeloni Te l ho cercata io dai.......visto che non sapevi cosa era successo. Vedi? Dice........tutto il mondo ad esclusione di Cina e India. Tutto il mondo........spero che adesso ti sia tutto più chiaro. Qualsiasi governo ci fosse stato sarebbe andato a picco. Ovvio
72,['1600155706954424320'],1600155706954424320,@abralacabria @demelza72 @GiorgiaMeloni https://t.co/JAxvNcNrIW
73,['1600154689344983040'],1600154689344983040,@abralacabria @demelza72 @GiorgiaMeloni Wikipedia. Vai su Wikipedia e vedi cosa è successo nel 2009 e non solo nel 2009. Non era colpa del governo quello che era successo. Però eh.......informarsi no eh?
